Restaurant_name,Restaurant_Categories_name,Restaurant_Categories_Food_Item_name,Item_price
Bistro 49,Sandwiches,Bistro Burger,1.0
Bistro 49,Sandwiches,Chicken Club Sandwich,1.0
Bistro 49,Sandwiches,Maryland Crab Cake,1.0
Bistro 49,Sandwiches,Grilled Veggie Sandwich,1.0
Bistro 49,Sandwiches,Grilled Filet Sandwich,1.0
Bistro 49,Salads,49er Salad,1.0
Bistro 49,Salads,Taco Tower,1.0
Bistro 49,Salads,Goat Cheese Salad,1.0
Bistro 49,Starters,Buffalo Chicken Dip,1.0
Bistro 49,Starters,Roasted Crab & Poblano Soup,1.0
Bistro 49,Starters,Chicken Pot Pie Soup,1.0
Bistro 49,Entrees,Horseradish Crusted Salmon,1.0
Bistro 49,Entrees,Pappardelle & Fig,1.0
Bistro 49,Entrees,Chicken Saltimbocca,1.0
Bistro 49,Entrees,Griled Petite Filet,1.0
Bojangles,Biscuits,"Bacon, Egg & Cheese",1.0
Bojangles,Biscuits,Cajun Filet Biscuit,1.0
Bojangles,Biscuits,Country Ham Biscuit,1.0
Bojangles,Biscuits,Egg & Cheese Biscuit,1.0
Bojangles,Biscuits,Gravy Biscuit,1.0
Bojangles,Biscuits,Plain Biscuit,1.0
Bojangles,Biscuits,Sausage Biscuit,1.0
Bojangles,Biscuits,Steak Biscuit,1.0
Bojangles,Sandwiches,Cajun Filet Club Sandwich,1.0
Bojangles,Sandwiches,Cajun Filet Sandwich,1.0
Bojangles,Sandwiches,Grilled Chicken Club,1.0
Bojangles,Sandwiches,Grilled Chicken Sandwich,1.0
Bojangles,Salads,Chicken Supreme Salad,1.0
Bojangles,Salads,Garden Salad,1.0
Bojangles,Salads,Grilled Chicken Salad,1.0
Bojangles,Chicken,Breast,1.0
Bojangles,Chicken,Leg,1.0
Bojangles,Chicken,Thigh,1.0
Bojangles,Chicken,Wing,1.0
Bojangles,Chicken,Supreme,1.0
Bojangles,Chicken,Roasted Chicken Bites,1.0
Bojangles,Boxes,12 piece & 6 biscuit box,1.0
Bojangles,Boxes,12 piece Supremes box,1.0
Bojangles,Boxes,20 piece & 10 biscut box,1.0
Bojangles,Boxes,8 piece & 4 biscuit box,1.0
Bojangles,Fixin's,Bo-Tato Rounds,1.0
Bojangles,Fixin's,Bo-Tato Rounds (medium),1.0
Bojangles,Fixin's,Bo-Tato Rounds (picnic),1.0
Bojangles,Fixin's,Seasoned Fries,1.0
Bojangles,Fixin's,Seasoned Fries (medium),1.0
Bojangles,Fixin's,Seasoned Fries (picnic),1.0
Bojangles,Dinners,1 Breast Dinner,1.0
Bojangles,Dinners,2 Breast Dinner,1.0
Bojangles,Dinners,2 Piece Dinner,1.0
Bojangles,Dinners,3 Piece Dinner,1.0
Bojangles,Dinners,3 Wing Dinner,1.0
Bojangles,Dinners,2 Piece Dinner (Breast & Wing),1.0
Bojangles,Dinners,2 Piece Dinner (Leg & Thigh),1.0
Bojangles,Dinners,3 Piece Dinner (Leg & 2 Thighs),1.0
Bojangles,Desserts,Bo-Berry Biscuit,1.0
Bojangles,Desserts,Cinnamon Biscuit,1.0
Bojangles,Desserts,Sweet Potato Pie,1.0
Bojangles,Drinks,Sweet Iced Tea,1.0
Bojangles,Drinks,Sweet Iced Tea (22oz),1.0
Bojangles,Drinks,Sweet Iced Tea (32oz),1.0
Bojangles,Drinks,Unsweetened Iced Tea,1.0
Bojangles,Drinks,Unsweetened Iced Tea (22oz),1.0
Bojangles,Drinks,Unsweetened Iced Tea (32oz),1.0
Burger 704,Burgers,Burger - Single,1.0
Burger 704,Burgers,Burger - Double,1.0
Burger 704,Burgers,Burger - Triple,1.0
Burger 704,Sides,Tater Tots,1.0
Burger 704,Combos,Burger - Single Combo,1.0
Burger 704,Combos,Burger - Double Combo,1.0
Burger 704,Combos,Burger - Triple Combo,1.0
